Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
4194,30977.8,54.8358423,-4.9146371,63.1,88.83379,10
4195,30977.8,54.8358407,-4.9146,63.1,88.12572,10
4196,34578,54.8358403,-4.9145628,64.2,87.66932,10
4197,34578,54.8358392,-4.9145255,64.2,87.07526,10
4198,30978.2,54.8358396,-4.9144883,65.4,86.5868,10
4199,30978.2,54.8358392,-4.9144511,65.4,86.09703,10
4200,30978.4,54.8358403,-4.914414,66.6,85.53495,10
4201,30978.4,54.8358405,-4.9143768,66.6,84.97832,10
4202,30978.6,54.8358421,-4.91434,67.8,84.524,10
4203,30978.6,54.8358428,-4.9143027,67.8,83.83709,10
4204,30978.8,54.8358448,-4.9142659,69,82.93497,10
4205,30978.8,54.835846,-4.9142287,69,81.98472,10
4206,34579,54.8358485,-4.9141916,70.2,80.87563,10
4207,34579,54.8358505,-4.9141546,70.2,79.8164,10
4208,30979.2,54.8358536,-4.9141177,71.4,78.79012,10
4209,30979.2,54.8358562,-4.9140809,71.4,78.18378,10
4210,30979.4,54.8358602,-4.9140444,72.7,77.55958,10
4211,30979.4,54.8358634,-4.9140076,72.7,76.93876,10
4212,30979.6,54.8358678,-4.9139712,73.9,76.52055,10
4213,30979.6,54.8358717,-4.9139348,73.9,76.22213,10
4214,30979.8,54.835877,-4.9138986,75.1,75.84385,10
4215,30979.8,54.8358813,-4.9138624,75.1,75.42515,10
4216,34580,54.8358874,-4.913827,76.3,74.96312,10
4217,34580,54.8358922,-4.9137913,76.3,74.43377,10
4218,30980.2,54.8358986,-4.9137562,77.4,73.76299,10
4219,30980.2,54.8359041,-4.913721,77.4,73.07285,10
4220,30980.4,54.8359111,-4.9136865,78.6,72.45245,10
4221,30980.4,54.8359171,-4.9136519,78.6,71.8942,10
4222,30980.6,54.8359249,-4.9136183,79.7,71.42625,10
4223,30980.6,54.8359314,-4.9135842,79.7,70.69574,10
4224,30980.8,54.8359397,-4.9135511,80.9,69.94141,10
4225,30980.8,54.8359468,-4.9135179,80.9,69.30336,10
4226,34581,54.8359554,-4.9134857,82,68.67978,10
4227,34581,54.835963,-4.9134532,82,67.96876,10
4228,30981.2,54.8359723,-4.9134223,83.1,67.22387,10
4229,30981.2,54.8359804,-4.9133907,83.1,66.42987,10
4230,30981.4,54.8359901,-4.913361,84.3,65.4894,10
4231,30981.4,54.8359987,-4.9133302,84.3,64.39636,10
4232,30981.6,54.8360088,-4.9133019,85.5,63.36366,10
4233,30981.6,54.8360179,-4.9132719,85.5,62.07842,10
4234,30981.8,54.8360284,-4.9132442,86.7,61.01609,10
4235,30981.8,54.8360381,-4.9132152,86.7,59.85836,10
4236,34582,54.8360491,-4.9131887,87.9,58.46844,10
4237,34582,54.8360594,-4.9131607,87.9,57.04935,10
4238,30982.2,54.8360709,-4.9131351,89.2,55.65419,10
4239,30982.2,54.8360817,-4.9131082,89.2,54.43923,10
4240,30982.4,54.8360937,-4.9130834,90.4,53.34446,10
4241,30982.4,54.8361051,-4.9130578,90.4,52.58816,10
4242,30982.6,54.8361176,-4.9130351,91.8,52.21859,10
4243,30982.6,54.8361295,-4.9130106,91.8,51.61056,10
4244,30982.8,54.8361425,-4.9129889,93.1,51.12908,10
4245,30982.8,54.836155,-4.9129657,93.1,50.47773,10
4246,34583,54.8361685,-4.9129455,94.5,49.83427,10
4247,34583,54.8361814,-4.9129236,94.5,48.90139,10
